,zero_count,non_zero_count,zero_percentage,min,max,mean,median
Acadian Flycatcher,114661.0,871.0,99.24609631963439,0.0,18.0,0.01335560716688633,0.0
Alder Flycatcher,115517.0,15.0,99.98701658414984,0.0,2.0,0.0001471453724661842,0.0
Allen's Hummingbird,115427.0,105.0,99.90911608904892,0.0,2.0,0.0009174947044812143,0.0
American Avocet,114922.0,610.0,99.47200775542707,0.0,1100.0,0.19614478945732117,0.0
American Bittern,115378.0,154.0,99.86670359727175,0.0,5.0,0.0016445659566670656,0.0
American Black Duck,111746.0,3786.0,96.72298583942111,0.0,2500.0,1.3365474939346313,0.0
American Coot,88604.0,26928.0,76.69217186580342,0.0,493.0,1.0514576435089111,0.0
American Crow,115429.0,103.0,99.91084721116228,0.0,10.0,0.0017224665498360991,0.0
American Flamingo,106179.0,9353.0,91.9044074369006,0.0,250.0,0.643639862537384,0.0
American Golden-Plover,111003.0,4529.0,96.07987397431015,0.0,20.0,0.052868470549583435,0.0
American Goldfinch,114835.0,697.0,99.39670394349618,0.0,26.0,0.01429041288793087,0.0
American Kestrel,115165.0,367.0,99.68233909219957,0.0,259.0,0.03805872052907944,0.0
American Oystercatcher,112789.0,2743.0,97.62576602153516,0.0,28.0,0.051795173436403275,0.0
American Pipit,105658.0,9874.0,91.45345012637192,0.0,1893.0,1.4152356386184692,0.0
American Redstart,112498.0,3034.0,97.37388775404216,0.0,2500.0,0.824983537197113,0.0
American Robin,115441.0,91.0,99.9212339438424,0.0,100.0,0.0038777135778218508,0.0
American White Pelican,115489.0,43.0,99.9627808745629,0.0,5.0,0.0005453034536913037,0.0
American Wigeon,107821.0,7711.0,93.32565869196414,0.0,300.0,0.18531662225723267,0.0
American Woodcock,115331.0,201.0,99.82602222760794,0.0,3.0,0.0019215455977246165,0.0
Anhinga,115153.0,379.0,99.67195235951945,0.0,11.0,0.007339957635849714,0.0
Ash-throated Flycatcher,115484.0,48.0,99.9584530692795,0.0,9.0,0.0006232039886526763,0.0
Bachman's Sparrow,107773.0,7759.0,93.28411176124364,0.0,50.0,0.10014541447162628,0.0
Baird's Sandpiper,113389.0,2143.0,98.14510265554132,0.0,28.0,0.06594710052013397,0.0
Bald Eagle,115175.0,357.0,99.69099470276633,0.0,80.0,0.008655610494315624,0.0
Baltimore Oriole,104917.0,10615.0,90.81206938337431,0.0,300.0,0.5624242424964905,0.0
Band-rumped Storm-Petrel,113743.0,1789.0,98.45151126960496,0.0,9.0,0.022400720044970512,0.0
Bank Swallow,114990.0,542.0,99.5308659072811,0.0,21.0,0.010386732406914234,0.0
Barn Swallow,115506.0,26.0,99.9774954125264,0.0,2.0,0.00024235709861386567,0.0
Barred Owl,105470.0,10062.0,91.29072464771664,0.0,15.0,0.10325277596712112,0.0
Bay-breasted Warbler,115289.0,243.0,99.7896686632275,0.0,54.0,0.014896306209266186,0.0
Bell's Vireo,112406.0,3126.0,97.2942561368279,0.0,2500.0,1.7003514766693115,0.0
Belted Kingfisher,115519.0,13.0,99.9887477062632,0.0,2.0,0.00020773465803358704,0.0
Black Scoter,114513.0,1019.0,99.1179932832462,0.0,4000.0,0.3767700791358948,0.0
Black Skimmer,109087.0,6445.0,94.42145898971714,0.0,200.0,0.27822595834732056,0.0
Black Swan,112130.0,3402.0,97.05536128518506,0.0,26.0,0.05458227917551994,0.0
Black Tern,111783.0,3749.0,96.75501159851817,0.0,130.0,0.12224318832159042,0.0
Black Vulture,108508.0,7024.0,93.92029913790118,0.0,10000.0,2.1129209995269775,0.0
Black-and-white Warbler,115407.0,125.0,99.89180486791538,0.0,3.0,0.0011511961929500103,0.0
Black-bellied Plover,114925.0,607.0,99.4746044385971,0.0,3.0,0.005911781918257475,0.0
Black-bellied Whistling-Duck,113949.0,1583.0,98.62981684728041,0.0,66.0,0.040845826268196106,0.0
Black-billed Cuckoo,115480.0,52.0,99.9549908250528,0.0,2.0,0.00046740297693759203,0.0
Black-capped Vireo,115503.0,29.0,99.97489872935637,0.0,1.0,0.00025101270875893533,0.0
Black-chinned Hummingbird,114073.0,1459.0,98.73714641830836,0.0,750.0,0.1492573469877243,0.0
Black-crowned Night Heron,115458.0,74.0,99.93594848180591,0.0,2.0,0.000701104465406388,0.0
Black-headed Grosbeak,115513.0,19.0,99.98355433992315,0.0,1.0,0.00016445660730823874,0.0
Black-headed Gull,114326.0,1206.0,98.95613336564762,0.0,22.0,0.018142160028219223,0.0
Black-legged Kittiwake,115457.0,75.0,99.93508292074922,0.0,2.0,0.0006751376204192638,0.0
Black-necked Stilt,115088.0,444.0,99.61569089083544,0.0,10.0,0.005227988585829735,0.0
Black-throated Blue Warbler,115145.0,387.0,99.66502787106603,0.0,7.0,0.004803863819688559,0.0
Black-throated Gray Warbler,111617.0,3915.0,96.61132846310979,0.0,100.0,0.09611190110445023,0.0
Black-throated Green Warbler,59115.0,56417.0,51.16764186545719,0.0,104.0,1.6132327318191528,0.0
Black-whiskered Vireo,102286.0,13246.0,88.53477824325728,0.0,90.0,0.2556261420249939,0.0
Blackburnian Warbler,112479.0,3053.0,97.3574420939653,0.0,10.0,0.03625835105776787,0.0
Blackpoll Warbler,112873.0,2659.0,97.69847315029601,0.0,1200.0,0.39177024364471436,0.0
Blue Grosbeak,114812.0,720.0,99.37679603919261,0.0,15.0,0.009529827162623405,0.0
Blue Jay,109208.0,6324.0,94.52619187757504,0.0,1000.0,0.4551120102405548,0.0
Blue-gray Gnatcatcher,115300.0,232.0,99.79918983485095,0.0,80.0,0.014714538119733334,0.0
Blue-headed Vireo,113997.0,1535.0,98.6713637780009,0.0,2410.0,0.41616174578666687,0.0
Blue-winged Teal,115494.0,38.0,99.96710867984628,0.0,120.0,0.0054357233457267284,0.0
Blue-winged Warbler,115504.0,28.0,99.97576429041305,0.0,8.0,0.000701104465406388,0.0
Boat-tailed Grackle,115493.0,39.0,99.9662431187896,0.0,1.0,0.0003375688102096319,0.0
Bobolink,115474.0,58.0,99.94979745871274,0.0,2.0,0.0005626147030852735,0.0
Bonaparte's Gull,114643.0,889.0,99.2305162206142,0.0,75.0,0.013269050978124142,0.0
Brewer's Blackbird,114718.0,814.0,99.29543329986498,0.0,48.0,0.01667936146259308,0.0
Bridled Tern,115496.0,36.0,99.96883980195963,0.0,9.0,0.0005799258942715824,0.0
Broad-billed Hummingbird,115459.0,73.0,99.9368140428626,0.0,3.0,0.0007270713103935122,0.0
Broad-tailed Hummingbird,115488.0,44.0,99.96191531350621,0.0,6.0,0.0005366478580981493,0.0
Broad-winged Hawk,90767.0,24765.0,78.56438043139563,0.0,4000.0,3.2868902683258057,0.0
Bronzed Cowbird,94873.0,20659.0,82.11837413011114,0.0,19.0,0.2965671718120575,0.0
Brown Booby,115499.0,33.0,99.97143648512966,0.0,2.0,0.0003029463696293533,0.0
Brown Creeper,106535.0,8997.0,92.21254717307758,0.0,2000.0,0.6380569934844971,0.0
Brown Noddy,108237.0,7295.0,93.68573209154174,0.0,23.0,0.1452411413192749,0.0
Brown Pelican,114738.0,794.0,99.3127445209985,0.0,3.0,0.00704566715285182,0.0
Brown Thrasher,115455.0,77.0,99.93335179863587,0.0,13.0,0.0016445659566670656,0.0
Brown-crested Flycatcher,112226.0,3306.0,97.13845514662604,0.0,600.0,0.28026002645492554,0.0
Brown-headed Cowbird,115253.0,279.0,99.75850846518713,0.0,4.0,0.0030208081007003784,0.0
Brown-headed Nuthatch,115342.0,190.0,99.83554339923138,0.0,2.0,0.0016532216686755419,0.0
Budgerigar,109378.0,6154.0,94.67333725721012,0.0,340.0,0.7292611598968506,0.0
Buff-bellied Hummingbird,115416.0,116.0,99.89959491742547,0.0,4.0,0.0011511961929500103,0.0
Buff-breasted Sandpiper,115447.0,85.0,99.92642731018246,0.0,56.0,0.0024235709570348263,0.0
Bufflehead,115335.0,197.0,99.82948447183463,0.0,5.0,0.00220718071796,0.0
Bullock's Oriole,75421.0,40111.0,65.28148045563134,0.0,40.0,0.89967280626297,0.0
Burrowing Owl,73099.0,42433.0,63.271647682027485,0.0,42.0,0.8023058772087097,0.0
Calliope Hummingbird,111248.0,4284.0,96.291936433196,0.0,600.0,0.21036596596240997,0.0
Canada Goose,115510.0,22.0,99.9809576567531,0.0,6.0,0.0003029463696293533,0.0
Canada Warbler,110783.0,4749.0,95.88945054184123,0.0,750.0,0.7297632098197937,0.0
Canvasback,115285.0,247.0,99.7862064190008,0.0,6.0,0.0027005504816770554,0.0
Cape May Warbler,114852.0,680.0,99.41141848145968,0.0,7.0,0.008491153828799725,0.0
Carolina Chickadee,105290.0,10242.0,91.1349236575148,0.0,300.0,0.33308520913124084,0.0
Carolina Wren,106462.0,9070.0,92.14936121594017,0.0,150.0,0.5190596580505371,0.0
Caspian Tern,115038.0,494.0,99.57241283800158,0.0,11.0,0.006889866199344397,0.0
Cassin's Kingbird,112123.0,3409.0,97.04930235778832,0.0,275.0,0.07200602442026138,0.0
Cave Swallow,115484.0,48.0,99.9584530692795,0.0,4.0,0.00045874735224060714,0.0
Cedar Waxwing,114088.0,1444.0,98.7501298341585,0.0,300.0,0.08934321254491806,0.0
Cerulean Warbler,112141.0,3391.0,97.0648824568085,0.0,220.0,0.21400997042655945,0.0
Chestnut-sided Warbler,115341.0,191.0,99.8346778381747,0.0,30.0,0.003981580957770348,0.0
Chimney Swift,101678.0,13854.0,88.0085171207977,0.0,2950.0,1.0126631259918213,0.0
Chipping Sparrow,111660.0,3872.0,96.64854758854689,0.0,16.0,0.07912959158420563,0.0
Chuck-will's-widow,110018.0,5514.0,95.22729633348337,0.0,355.0,0.21493612229824066,0.0
Cinnamon Teal,114058.0,1474.0,98.7241630024582,0.0,190.0,0.02907419577240944,0.0
Clapper Rail,114646.0,886.0,99.23311290378423,0.0,1000.0,0.05500640347599983,0.0
