longitude,latitude,American Crow,Belted Kingfisher,Blue Jay,Blue-gray Gnatcatcher,Brown Pelican,Brown Thrasher,Carolina Chickadee,Carolina Wren,Common Grackle,Double-crested Cormorant,Downy Woodpecker,Eastern Bluebird,Eastern Phoebe,Eastern Towhee,European Starling,Fish Crow,Forster's Tern,Gray Catbird,Great Blue Heron,Great Crested Flycatcher,Great Egret,House Finch,House Sparrow,Killdeer,Laughing Gull,Little Blue Heron,Marbled Godwit,Mourning Dove,Northern Cardinal,Northern Mockingbird,Osprey,Pine Warbler,Red-bellied Woodpecker,Red-winged Blackbird,Ring-billed Gull,Royal Tern,Ruby-crowned Kinglet,Ruby-throated Hummingbird,Sanderling,Snowy Egret,Tufted Titmouse,Turkey Vulture,White Ibis,White-eyed Vireo,Willet,Yellow-rumped Warbler
-90.74140344305108,31.250507919048523,45,0,45,0,11,1,9,11,3,3,1,13,0,0,37,3,0,0,1,0,1,11,33,1,333,0,0,255,1371,31,0,0,1,273,0,1,0,1,1,0,3,1,0,0,0,9
-90.71135373508636,31.262354900935588,24,3,31,11,983,1,6,9,24,68,3,22,3,1,451,6,4,9,13,1,43,1,1,10,10529,3,0,84,31,38,9,2,9,6329,3,30,2,1,11,10,1,7,25,3,2,215
-90.74175615040852,31.2167978997281,64,0,62,0,12,1,4,6,4,11,1,19,0,0,126,4,0,0,2,0,3,8,26,2,392,0,0,345,1835,47,0,0,2,531,1,1,0,1,1,0,1,2,1,0,0,14
-90.71170979432635,31.228641776229477,25,2,25,3,724,1,14,7,22,53,2,21,3,1,398,5,1,7,11,1,41,1,3,9,8234,3,0,84,77,36,7,1,8,6080,3,23,2,0,4,9,1,8,22,2,1,185
-90.6816620449597,31.2404756141882,48,0,47,0,11,1,9,4,3,3,1,14,0,0,37,3,0,0,1,0,1,11,33,1,330,0,0,263,1426,32,0,0,1,282,0,1,0,1,1,0,3,1,0,0,0,10
-90.65161385625429,31.252306230006873,47,0,46,0,11,1,9,4,3,3,1,14,0,0,37,3,0,0,1,0,1,11,33,1,333,0,0,263,1417,32,0,0,1,284,0,1,0,1,1,0,3,1,0,0,0,10
-90.742116123415,31.183087539815897,48,0,47,0,10,1,9,11,3,3,1,14,0,0,36,3,0,0,1,0,1,11,34,1,318,0,0,257,3924,31,0,0,1,261,0,1,0,1,1,0,3,1,0,0,0,9
-90.71207859175458,31.19492849599304,47,0,47,0,11,1,9,11,3,3,1,14,0,0,36,3,0,0,1,0,1,11,34,1,320,0,0,257,3900,31,0,0,1,261,0,1,0,1,1,0,3,1,0,0,0,9
-90.6820315109795,31.206766115714103,46,0,46,0,11,1,9,11,3,3,1,14,0,0,36,3,0,0,1,0,1,11,34,1,330,0,0,256,1395,31,0,0,1,265,0,1,0,1,1,0,3,1,0,0,0,9
-90.65198577955329,31.218591149573903,46,0,45,0,11,1,9,11,3,3,1,14,0,0,36,3,0,0,1,0,1,11,33,1,330,0,0,255,1387,31,0,0,1,270,0,1,0,1,1,0,3,1,0,0,0,9
