,t_mean,water,shore,urban,salt_marsh,salt_woody_wetland,longitude,northness_median,elevation_sd,poc_mean,fresh_marsh,pasture,trange_mean,shrub,chl_mean,eastness_sd,forest,grassland,latitude,fresh_woody_wetland,elevation_median,agriculture,slopeness_sd,northness_sd,slopeness_median,barren,eastness_median
Brown-headed Cowbird,-0.5361561139272376,-0.12347474609241776,-0.2569517461700963,-0.2567220893244284,-0.40976426042896813,-0.3951606150300133,-0.21448244544684278,0.00323184327979042,0.4124932987497253,0.07901878387702312,0.20476279586820953,0.40618069024116304,0.6444186710473225,0.2868116695185259,0.328837276006813,0.35659495780713746,0.312668094644334,0.25581061282644685,0.7734475040661166,0.39311110567708896,0.8445191744259457,0.2701633159316096,0.23540206128524907,0.2955932396154653,0.4230000477688592,0.07664052526055878,0.03785743186022854
House Sparrow,-0.318562338686177,-0.06353349505685531,-0.17511884566824326,-0.1897706927612994,-0.28210549088338865,-0.2802902829601011,-0.17513831080668588,-0.02886674146511968,0.33096050141682204,0.08860443104032711,0.15782623443923696,0.21690082363420585,0.41737854169690763,0.18127302726791575,0.1724172763017217,0.19159508505481257,0.16648366450779442,0.14481457423447455,0.4276643293898477,0.23985741512788356,0.5213149301212083,0.17064997637732135,0.1037270496215224,0.11007182746024764,0.23293234155783568,0.049475212674071616,0.03303169473185555
Eastern Bluebird,-0.29951806430297523,-0.13308026497863887,-0.22009696761120642,-0.2130011296980464,-0.3531954520638423,-0.30898857997185303,-0.40536439234460137,-0.023217912837433692,-0.013172400299323732,0.10477591092088931,0.21830688497304607,0.4495393373819703,0.6777098042134602,0.3839991963755038,0.45605742199687127,0.39163335790318865,0.3431834573663943,0.28323834167131484,0.5632065087942077,0.36213016252809943,0.6965040962267485,0.22057430270385373,0.2197670322432086,0.2836011214385008,0.39478046667166067,0.18837053899388947,0.047185213268997904
American Goldfinch,-0.22209438775747284,-0.08571598570368974,-0.1752468744560406,-0.19097071799541043,-0.29229481098006177,-0.2600572035643854,-0.3840571798191096,-0.0187751200889289,0.042110246185226415,0.1284823316491793,0.19295199807422486,0.38831434647889707,0.6509048452617091,0.2966733831279382,0.3580157931916778,0.2972867092800784,0.26986556324761,0.20870210535936357,0.5116619642674828,0.29427068451779725,0.6894062081188308,0.16287421789846704,0.14179379852218288,0.2038408890101796,0.2793482546472615,0.14414162185856624,0.02837039212480151
Chipping Sparrow,-0.2759466831760546,-0.11748542195632115,-0.18822412405566522,-0.19499381694924153,-0.29524673196106765,-0.2590232158867669,-0.34712250705576225,-0.00881183059672541,0.12604508587826802,0.12716508495150558,0.1755280649609116,0.3700101849976795,0.638505695055461,0.320452747307172,0.37261057084303983,0.31316635443036756,0.3055520146871982,0.23067887365482173,0.518809960148322,0.2962455683498078,0.6670754480777478,0.17968314079722247,0.17195979149562485,0.22327990762900118,0.3214948062117961,0.1433388058315101,0.03955063061790114
Killdeer,-0.17949044487373242,-0.022521221840322257,-0.15267607945369827,-0.32643673417410857,-0.38487115347257744,-0.3760182579766599,-0.44190137361174764,-0.01142981794733721,-0.07126585273815783,0.1496724076295247,0.2607298673796736,0.3562282450213004,0.6439880406794423,0.22212078002139043,0.33751590238731055,0.28409636727011717,0.16484060407703463,0.1456347404030523,0.4943164873835603,0.3900641992079941,0.7183395555196671,0.11202301586541803,0.09474844280345414,0.16144957090209142,0.2312918392680444,0.10545437486687911,0.049642503161562414
Northern Cardinal,-0.17504210953311822,-0.11866392973230391,-0.19080764667992528,-0.20601315240794477,-0.3231369248683907,-0.27659303212494896,-0.46935298815499665,-0.02378748504148308,-0.17275033192721567,0.131431736150699,0.21693388231095223,0.40557110770658983,0.6439850267991619,0.37280504640556317,0.44310245313637053,0.36759951714199657,0.3305729018864901,0.2601185282000393,0.4428654650608522,0.31895412520428273,0.6125720723548074,0.15515091042188253,0.18543098272409925,0.24860476338348808,0.34733352321989525,0.20200464067591967,0.026566986134671275
Common Grackle,-0.06421124459148397,-0.04598751805129672,-0.13191139092802837,-0.23251635560545084,-0.30023882764799625,-0.2731740313694802,-0.4717370606828781,-0.00800697121481168,-0.22247062466346376,0.1572745654979915,0.18655512666450882,0.36197859950025163,0.6313578188359449,0.27117292629651896,0.3807865977143798,0.2999741759349494,0.22398502436768256,0.1592564664931436,0.38073610614636527,0.30492660640931496,0.5930788138245119,0.059150300322555055,0.12126027085122021,0.1924555159105747,0.24630251937398276,0.14247174423185735,0.04763880415649824
American Crow,-0.1180217802260477,-0.054538111417481765,-0.13940205150301982,-0.24565936421637644,-0.3049114043253412,-0.28657095089548473,-0.4373951253037063,6.008129116592669e-05,-0.05806084296416635,0.15372840997535572,0.21449188974783445,0.3262733444035606,0.6249458499680182,0.273419062561142,0.33838685343095215,0.2621768912540742,0.21829322516177369,0.16928239951662974,0.39048262876321327,0.3046487640344792,0.609909324594072,0.11564032130072095,0.0956460957895681,0.14132788852342626,0.22093976858558417,0.13795806236418734,0.030094269158219104
American Robin,-0.10791062476377514,-0.0495524534912001,-0.13476447281141868,-0.23192694924573698,-0.3184922372956218,-0.2947711699663328,-0.46639535147442873,-0.0363793354138517,-0.12876606556819922,0.1438016265139225,0.19729900122866287,0.3846205180798371,0.6616557785309503,0.2981883755323288,0.377718749028434,0.29963819838552147,0.2477174825317737,0.18346168353793965,0.41485601910236547,0.33462304364639994,0.6205619517258376,0.10472068581021475,0.10553737157490337,0.17648676472817978,0.23563272069573937,0.16096641062874223,0.040469467392595236
