,cluster
70,2
322,1
114,1
231,1
71,1
211,1
68,1
141,1
206,1
248,1
229,1
336,1
8,1
271,1
245,1
230,1
325,1
326,5
237,3
112,3
168,3
142,4
318,4
17,4
191,4
88,4
107,4
96,4
250,4
347,4
121,4
198,4
119,4
210,4
50,4
81,4
6,4
161,4
162,4
77,4
109,4
261,4
85,4
240,4
82,4
304,4
89,4
205,4
13,4
33,4
36,4
305,4
195,6
199,6
113,6
217,6
111,6
249,6
102,6
49,6
143,6
25,6
254,6
209,6
342,6
264,6
97,6
235,6
218,6
34,6
158,6
256,6
285,6
208,6
345,6
297,6
343,6
157,6
338,6
22,6
99,6
52,6
280,6
283,6
272,6
315,6
32,6
57,6
42,6
277,6
196,6
222,6
213,6
12,6
90,6
164,6
39,6
116,6
340,6
193,6
93,6
197,6
127,6
147,6
252,6
289,6
348,6
189,6
349,6
179,6
243,6
156,6
284,6
100,6
207,6
151,6
333,6
72,6
204,6
45,6
236,6
104,6
215,6
190,6
159,6
275,6
239,6
295,6
251,6
257,6
54,6
180,6
308,6
323,6
233,6
136,6
220,6
3,6
194,6
76,6
300,6
214,6
225,6
267,6
10,6
273,6
149,6
75,6
170,6
328,6
192,6
274,6
314,6
296,6
331,6
62,6
287,6
339,6
56,6
167,6
227,6
294,6
334,6
216,6
87,6
185,6
7,6
47,6
169,6
145,6
115,6
202,6
64,6
278,6
4,6
309,6
226,6
15,6
144,6
41,6
120,6
344,6
95,6
247,6
155,6
317,6
332,6
299,6
29,6
103,6
286,6
23,6
105,6
346,6
279,6
337,6
2,6
203,6
11,6
153,6
290,6
293,6
19,6
128,6
291,6
78,6
122,6
137,6
307,6
65,6
152,6
26,6
16,6
186,6
313,6
46,6
63,6
173,6
335,6
124,6
177,6
80,6
258,6
160,6
330,6
262,6
27,6
201,6
126,6
281,6
324,6
184,6
212,6
135,6
58,6
60,6
172,6
20,6
165,6
187,6
221,6
31,6
139,6
59,6
61,6
163,6
310,6
38,6
303,6
43,6
311,6
44,6
125,6
176,6
188,6
48,6
138,6
69,6
133,6
150,6
1,6
92,6
130,6
270,6
312,6
181,6
327,6
86,6
320,6
66,6
246,6
341,6
288,6
132,6
154,6
129,6
40,6
79,6
319,6
37,6
238,6
321,6
131,6
265,6
18,6
84,6
224,6
242,6
73,6
306,6
146,6
0,6
200,6
232,6
316,6
244,6
292,6
223,6
9,6
174,6
178,6
183,6
182,6
166,6
110,6
234,6
269,6
53,6
91,6
101,6
94,6
298,6
148,6
302,6
301,7
260,7
51,7
228,7
21,8
134,8
117,8
28,8
5,8
282,8
24,8
255,8
106,8
140,8
253,8
67,8
259,8
171,8
266,8
98,8
123,8
329,8
30,8
175,8
74,8
35,8
276,8
241,8
263,8
118,8
108,8
83,8
268,8
219,8
14,8
55,8
