,Roseate Spoonbill,King Rail,Rufous Hummingbird,Common Grackle,Fish Crow,White-winged Scoter,Belted Kingfisher,Least Flycatcher,Buff-bellied Hummingbird,Black Vulture,Seaside Sparrow,Red Knot,Ruby-throated Hummingbird,Eastern Wood-Pewee,Double-crested Cormorant,Carolina Chickadee,Sanderling,Orange-crowned Warbler,American Redstart,Blue-winged Teal
Roseate Spoonbill,0.0,0.24369882756542693,0.24490797365849842,0.14566834422183,0.20854793017289713,0.1958250651318731,0.22768852964310002,0.17915307864083874,0.15239380909448083,0.13359035608991093,0.07878045753929849,0.1508549626726527,0.14947243117518239,0.1425161932845462,0.12992512718422522,0.14489634310491029,0.1929266268427687,0.11970683280646534,0.1444093788312204,0.13476314651586607
King Rail,0.24369882756542693,0.0,0.2590500964298756,0.1447836032080397,0.17947496472675215,0.18027741294988708,0.20229536516292218,0.13080644833887953,0.09223826464378106,0.03277014763353003,0.031728218545329805,0.06141681039757494,0.12823062515245037,0.09386064226984069,0.08139140287342421,0.09860708509344283,0.16652926828874698,0.1647684155918663,0.13303268368664456,0.1148777603392791
Rufous Hummingbird,0.2449079736584984,0.2590500964298756,0.0,0.20871557386702105,0.21817895658553577,0.22174922791000026,0.2334699110206608,0.23045020220823315,0.16599720777870336,0.1363919601217691,0.11180582811097933,0.1402932731522738,0.18578181676550135,0.1799914089145803,0.15930022428364246,0.16817450818036503,0.20381312891971196,0.1571588040495372,0.1327595608351772,0.1250339908851996
Common Grackle,0.14566834422183,0.1447836032080397,0.20871557386702103,0.0,0.16709672377037596,0.17482589495652567,0.2384239336590662,0.21300120139762307,0.1715582462834401,0.15405285612116756,0.1711328521723156,0.1996748393419163,0.21092954098211827,0.16254949782027261,0.20699081255018456,0.21557784150858328,0.20767405779266243,0.13155263565489198,0.10304628514775964,0.06756525222505641
Fish Crow,0.20854793017289713,0.17947496472675217,0.21817895658553574,0.16709672377037596,0.0,0.22653231916883423,0.2195347307892802,0.1814910962174624,0.17389385712583846,0.13378579056760873,0.12444663421481333,0.14801847795437642,0.20904606492049632,0.17655390776593732,0.14651925876509508,0.19645622478801303,0.19812544037209365,0.1541178095949608,0.11108841486390957,0.13557186851623965
White-winged Scoter,0.1958250651318731,0.18027741294988708,0.22174922791000026,0.17482589495652567,0.22653231916883426,0.0,0.2499096189806859,0.20339257008076747,0.19062581679215304,0.16059726485026735,0.1648909038752203,0.13156909091795357,0.1935652124167915,0.16876891691034698,0.2149132917372379,0.1883400693064854,0.25130351226310044,0.16717311645037738,0.14701888643361533,0.13380550026880686
Belted Kingfisher,0.22768852964310002,0.20229536516292215,0.23346991102066084,0.2384239336590662,0.2195347307892802,0.2499096189806859,0.0,0.25688060789222744,0.17265041106933657,0.12132920375341548,0.18620096109509357,0.19034145992912843,0.21341096147482932,0.18792214069495683,0.2082186143616728,0.19497882290773003,0.23965767706274627,0.1612719242495605,0.16496313426069703,0.1333675410130129
Least Flycatcher,0.17915307864083874,0.13080644833887956,0.23045020220823315,0.2130012013976231,0.1814910962174624,0.20339257008076747,0.2568806078922275,0.0,0.22170355736464953,0.19523745766674466,0.14560286600826539,0.18427123570158363,0.20826906282052146,0.17672766921995145,0.16258548596484226,0.24020816311702753,0.22687897056489575,0.1328127996077403,0.1736289091121135,0.12191418538306285
Buff-bellied Hummingbird,0.15239380909448083,0.09223826464378104,0.16599720777870336,0.1715582462834401,0.1738938571258385,0.19062581679215304,0.1726504110693366,0.22170355736464953,0.0,0.18502736281107965,0.17025636130895036,0.19453991641324983,0.19340451668684547,0.1961359962983924,0.17570307761902917,0.1989279447490729,0.2054796389941997,0.11449574712876306,0.051367220411370255,0.08061542984676333
Black Vulture,0.13359035608991093,0.03277014763353004,0.1363919601217691,0.15405285612116756,0.1337857905676087,0.16059726485026735,0.12132920375341548,0.19523745766674463,0.18502736281107965,0.0,0.20382201141201273,0.18698334889436663,0.18516280342816713,0.17137127045082307,0.20752262853660225,0.20971611344661212,0.1986988282723776,0.09980453667288328,0.10995062182617771,0.11061363379653545
Seaside Sparrow,0.07878045753929849,0.031728218545329805,0.1118058281109793,0.17113285217231558,0.12444663421481333,0.1648909038752203,0.18620096109509354,0.14560286600826539,0.1702563613089504,0.20382201141201273,0.0,0.19964495104916957,0.21209332300484648,0.2217895098351149,0.22678393317429169,0.22592185913930543,0.19710499179475563,0.11515261582048895,0.15291573227478253,0.10588582949735394
Red Knot,0.15085496267265272,0.061416810397574934,0.1402932731522738,0.1996748393419163,0.14801847795437645,0.13156909091795357,0.1903414599291284,0.18427123570158363,0.19453991641324983,0.1869833488943666,0.1996449510491696,0.0,0.24178623004229965,0.21095250621338596,0.22685048652952758,0.20714179779692485,0.23585257609985852,0.12329142577269557,0.09458423816571497,0.12179296827590637
Ruby-throated Hummingbird,0.1494724311751824,0.12823062515245034,0.18578181676550135,0.21092954098211827,0.20904606492049632,0.1935652124167915,0.21341096147482932,0.20826906282052146,0.19340451668684547,0.18516280342816716,0.2120933230048465,0.24178623004229965,0.0,0.21018782448886963,0.22251613884244043,0.21748527567029255,0.22944405383974287,0.12915742076034903,0.14617769156812332,0.10778675963943357
