,Brown Thrasher,White-crowned Pigeon,Eastern Phoebe,Pileated Woodpecker,Brown-crested Flycatcher,Northern House Wren,Brown Noddy,Great Black-backed Gull,Northern Bobwhite,Red-necked Grebe,Philadelphia Vireo,Wilson's Warbler,American Crow,Savannah Sparrow,Red-cockaded Woodpecker,Pied-billed Grebe,White-faced Ibis,White-rumped Sandpiper,Purple Finch,Eastern Kingbird
Brown Thrasher,0.0,0.026090354256412398,0.04260435950600568,0.05758361914923073,0.01228799547114961,-0.012271863405363655,0.006565479359975411,0.013346509971970436,-0.01941911625643767,-0.003777115391269128,0.04979524281973406,0.0339907413758999,0.048396996883053024,0.04590985200520548,0.011051286621329988,0.05929580069022187,0.06042406297940958,-0.008696264475356017,0.011396873252888406,0.03425783684625347
White-crowned Pigeon,0.026090354256412398,0.0,0.09241918443748345,0.107781788824756,0.07151207006490917,0.06956204080377164,-0.005698914066210283,0.028514595061443392,0.00804373067050848,0.05665122865032803,0.05716076217876687,0.04830315696599411,0.03560591774003762,-0.04797264520744167,0.027176283812208723,0.018043931693439756,0.03961850983425527,-0.018993116457977313,0.026104820081674827,0.020049561078041858
Eastern Phoebe,0.04260435950600568,0.09241918443748345,0.0,0.12866806471882336,0.08871921541856641,0.05103047195167193,0.03795987037847968,0.0380746115499281,0.05472019604077481,0.018564969801059386,0.037355187338183556,0.030995607799775324,0.03194941076518431,0.0134753133683496,0.017930319375523834,0.053503911560367774,0.06691416602719379,-0.006186825373065294,-0.000746824970755966,0.011858371650478946
Pileated Woodpecker,0.05758361914923073,0.107781788824756,0.12866806471882333,0.0,0.1088249306173113,0.05373352064511111,0.07377153334573884,0.07091004767730584,0.030429403254417692,0.06991074739435225,0.07835393245145492,0.03794392176633633,0.09854829311462587,0.04265068070378988,0.03255924846558383,0.07179109991658929,0.09573083213277453,-0.026660190531277692,0.015101284225791765,0.025528696630732876
Brown-crested Flycatcher,0.01228799547114961,0.07151207006490916,0.08871921541856641,0.1088249306173113,0.0,0.09434165204850334,0.02184372840532157,0.08407040866312414,0.01763667781417295,0.05233818398225767,0.08456755878256648,0.010060543268096234,-0.0025263922747713334,0.0014398473498071903,0.055832328986257514,0.07681210727812048,0.0773603877717477,-0.05283952140308311,0.037807101787244245,0.010283373725764931
Northern House Wren,-0.012271863405363653,0.06956204080377164,0.05103047195167193,0.05373352064511111,0.09434165204850334,0.0,-0.005277459478732022,0.016959570459064217,0.0753948017208355,0.03830960030420675,0.07799663976805325,0.055269267629834494,-0.03686245258638147,-0.021278888730750227,0.05371176125413271,0.030100459982086377,0.054876124549458345,-0.08796537858562903,0.055646860703321074,0.003959603300073971
Brown Noddy,0.006565479359975411,-0.005698914066210283,0.03795987037847968,0.07377153334573885,0.021843728405321575,-0.005277459478732022,0.0,0.067406475399166,0.01863515424634339,0.04652786042580189,0.029265295170480418,0.020448324374284454,0.038384547054221514,0.08717153432134378,0.03368449929408239,0.057881016198637385,0.04145025312367842,0.0488998617587517,-0.01901456790635041,-0.00576077553681335
Great Black-backed Gull,0.013346509971970436,0.028514595061443392,0.0380746115499281,0.07091004767730584,0.08407040866312414,0.016959570459064217,0.067406475399166,0.0,0.028528447329393563,0.04662873230231725,0.0648820228257925,0.09331005926598189,0.07281288860983462,0.050789695038525234,0.03476248349834705,0.07745010855824633,0.06061241571313468,-0.0183881520730589,0.004620788358555462,0.0014610081802965437
Northern Bobwhite,-0.019419116256437673,0.00804373067050848,0.05472019604077481,0.030429403254417692,0.017636677814172948,0.0753948017208355,0.018635154246343395,0.028528447329393563,0.0,0.10105518196942552,0.09083670899497874,0.045072325968155025,-0.0252581680089748,0.04326971705978043,0.06328121172314224,0.10200907652203445,0.08048398906168272,-0.0202672524977029,-0.024828701321141983,-0.03485743696933344
Red-necked Grebe,-0.0037771153912691275,0.056651228650328025,0.018564969801059386,0.06991074739435225,0.05233818398225767,0.03830960030420675,0.04652786042580189,0.04662873230231725,0.10105518196942552,0.0,0.09021932527403051,0.06357157555369701,0.0008331610054490417,0.06550507489650295,0.05650638280294769,0.08106285575974018,0.08896874258934741,-0.033455216667227006,-0.023293476110881305,0.01869808325229355
Philadelphia Vireo,0.04979524281973406,0.05716076217876688,0.03735518733818356,0.07835393245145492,0.08456755878256648,0.07799663976805325,0.02926529517048042,0.0648820228257925,0.09083670899497874,0.09021932527403051,0.0,0.11798018075959837,0.05229976810699721,0.07259709016371832,0.07220276403478189,0.1345744717525034,0.11439789117681531,-0.01743328863397665,-0.02099320657504693,0.04969687265890887
Wilson's Warbler,0.033990741375899906,0.048303156965994104,0.030995607799775327,0.03794392176633633,0.010060543268096234,0.0552692676298345,0.020448324374284454,0.0933100592659819,0.04507232596815503,0.06357157555369701,0.11798018075959836,0.0,0.10327323021994445,0.0899939200890493,0.07453428285340673,0.08135383706231422,0.11735679334065541,-0.04532684417816114,0.01795227049501036,0.06315421606510344
American Crow,0.04839699688305303,0.03560591774003762,0.031949410765184316,0.09854829311462587,-0.0025263922747713334,-0.036862452586381475,0.038384547054221514,0.0728128886098346,-0.025258168008974798,0.0008331610054490418,0.05229976810699722,0.10327323021994443,0.0,0.13907500932602354,0.03832733836380649,0.1020523462358871,0.09094719571169176,0.05404003885489644,0.002105555402525191,0.03211987923394739
Savannah Sparrow,0.045909852005205476,-0.04797264520744167,0.0134753133683496,0.042650680703789884,0.0014398473498071906,-0.021278888730750227,0.0871715343213438,0.050789695038525234,0.04326971705978044,0.06550507489650295,0.07259709016371832,0.0899939200890493,0.13907500932602354,0.0,0.113097364827354,0.12526685746849425,0.127487952431545,0.04087062453753751,-0.08758153253786284,0.012303370963734312
Red-cockaded Woodpecker,0.011051286621329988,0.027176283812208723,0.017930319375523838,0.03255924846558383,0.055832328986257514,0.05371176125413271,0.03368449929408239,0.03476248349834705,0.06328121172314224,0.056506382802947695,0.0722027640347819,0.07453428285340673,0.038327338363806494,0.11309736482735398,0.0,0.13541980690543023,0.12406880870180445,-0.010440370466499016,-0.0271807698144124,-0.030129467537579183
Pied-billed Grebe,0.05929580069022188,0.018043931693439756,0.053503911560367774,0.07179109991658929,0.07681210727812049,0.030100459982086374,0.057881016198637385,0.07745010855824633,0.10200907652203445,0.08106285575974019,0.13457447175250337,0.08135383706231422,0.1020523462358871,0.12526685746849425,0.13541980690543023,0.0,0.1672159721417575,0.06320887014652062,-0.017942786076856763,-0.0357207644642546
White-faced Ibis,0.06042406297940958,0.03961850983425527,0.06691416602719377,0.09573083213277453,0.07736038777174771,0.054876124549458345,0.04145025312367842,0.06061241571313468,0.08048398906168272,0.08896874258934741,0.11439789117681531,0.11735679334065542,0.09094719571169176,0.12748795243154504,0.12406880870180445,0.1672159721417575,0.0,0.0038611048528309788,-0.03864104834879701,-0.011596986633118785
White-rumped Sandpiper,-0.008696264475356017,-0.018993116457977313,-0.006186825373065293,-0.026660190531277692,-0.05283952140308311,-0.08796537858562901,0.0488998617587517,-0.0183881520730589,-0.0202672524977029,-0.033455216667227006,-0.01743328863397665,-0.045326844178161144,0.05404003885489644,0.04087062453753751,-0.010440370466499016,0.06320887014652062,0.0038611048528309788,0.0,-0.0821035598822676,-0.03980919085715162
Purple Finch,0.011396873252888406,0.02610482008167483,-0.000746824970755966,0.015101284225791765,0.03780710178724424,0.055646860703321074,-0.01901456790635041,0.004620788358555461,-0.024828701321141986,-0.023293476110881305,-0.02099320657504693,0.017952270495010362,0.0021055554025251914,-0.08758153253786284,-0.027180769814412396,-0.017942786076856763,-0.03864104834879701,-0.0821035598822676,0.0,0.04286282732104511
Eastern Kingbird,0.03425783684625347,0.02004956107804186,0.011858371650478946,0.025528696630732876,0.01028337372576493,0.003959603300073971,-0.00576077553681335,0.0014610081802965437,-0.034857436969333445,0.01869808325229355,0.04969687265890886,0.06315421606510344,0.03211987923394739,0.012303370963734312,-0.03012946753757918,-0.0357207644642546,-0.011596986633118785,-0.03980919085715162,0.04286282732104511,0.0
