species,n_obs
American Coot,2
American Crow,1358
American Goldfinch,3338
American Kestrel,2
American Robin,1061
American White Pelican,2
Anhinga,372
Bald Eagle,160
Barn Swallow,1603
Belted Kingfisher,2
Black Vulture,406
Black-bellied Whistling-Duck,1127
Blue Jay,3405
Blue-gray Gnatcatcher,768
Blue-winged Teal,2
Boat-tailed Grackle,26
Brown Pelican,2740
Brown Thrasher,3341
Brown-headed Cowbird,514
Brown-headed Nuthatch,277
Canada Goose,1299
Carolina Chickadee,3435
Carolina Wren,3426
Caspian Tern,1
Cedar Waxwing,798
Chimney Swift,3416
Chipping Sparrow,1266
Common Gallinule,2
Common Grackle,1035
Common Loon,1
Common Yellowthroat,4
Double-crested Cormorant,3064
Downy Woodpecker,3380
Eastern Bluebird,2578
Eastern Kingbird,13
Eastern Phoebe,847
Eastern Towhee,3326
Eurasian Collared-Dove,1
European Starling,3061
Fish Crow,3446
Forster's Tern,2
Gray Catbird,610
Great Blue Heron,3221
Great Crested Flycatcher,525
Great Egret,1068
Green Heron,2
House Finch,2887
House Sparrow,2875
Indigo Bunting,2
Killdeer,3016
Laughing Gull,2829
Least Sandpiper,1
Little Blue Heron,343
Loggerhead Shrike,2
Mallard,3428
Mourning Dove,3445
Northern Cardinal,3471
Northern House Wren,1
Northern Mockingbird,3383
Northern Parula,1
Osprey,2966
Palm Warbler,2
Pied-billed Grebe,32
Pileated Woodpecker,13
Pine Warbler,866
Purple Martin,357
Red-bellied Woodpecker,3381
Red-eyed Vireo,1
Red-shouldered Hawk,108
Red-tailed Hawk,2
Red-winged Blackbird,1123
Ring-billed Gull,786
Rock Pigeon,4358
Royal Tern,4346
Ruby-crowned Kinglet,734
Ruby-throated Hummingbird,3415
Sanderling,1719
Snowy Egret,389
Swamp Sparrow,2
Tree Swallow,9
Tricolored Heron,2
Tufted Titmouse,3386
Turkey Vulture,1448
White Ibis,976
White-eyed Vireo,550
White-throated Sparrow,32
Willet,2
Wood Duck,153
Yellow-rumped Warbler,3331
