longitude,latitude,American Crow,Belted Kingfisher,Blue Jay,Blue-gray Gnatcatcher,Brown Pelican,Brown Thrasher,Carolina Chickadee,Carolina Wren,Common Grackle,Double-crested Cormorant,Downy Woodpecker,Eastern Bluebird,Eastern Phoebe,Eastern Towhee,European Starling,Fish Crow,Forster's Tern,Gray Catbird,Great Blue Heron,Great Crested Flycatcher,Great Egret,House Finch,House Sparrow,Killdeer,Laughing Gull,Little Blue Heron,Marbled Godwit,Mourning Dove,Northern Cardinal,Northern Mockingbird,Osprey,Pine Warbler,Red-bellied Woodpecker,Red-winged Blackbird,Ring-billed Gull,Royal Tern,Ruby-crowned Kinglet,Ruby-throated Hummingbird,Sanderling,Snowy Egret,Tufted Titmouse,Turkey Vulture,White Ibis,White-eyed Vireo,Willet,Yellow-rumped Warbler
-90.74140344305108,31.250507919048523,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.71135373508636,31.262354900935588,54.0,6.0,54.0,19.0,2980.0,6.0,54.0,19.0,54.0,147.0,6.0,54.0,6.0,6.0,1096.0,19.0,19.0,19.0,19.0,6.0,54.0,19.0,54.0,19.0,22025.0,6.0,0.0,147.0,54.0,54.0,19.0,6.0,19.0,8102.0,19.0,147.0,6.0,6.0,54.0,19.0,6.0,19.0,54.0,6.0,6.0,402.0
-90.74175615040852,31.2167978997281,8102.0,2.0,2980.0,6.0,54.0,19.0,147.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,6.0,6.0,19.0,6.0,19.0,402.0,1096.0,19.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,54.0,6.0,2.0,147.0
-90.71170979432635,31.228641776229477,1096.0,6.0,402.0,6.0,402.0,6.0,147.0,54.0,54.0,147.0,19.0,54.0,6.0,6.0,1096.0,54.0,6.0,6.0,19.0,6.0,54.0,54.0,147.0,19.0,8102.0,6.0,0.0,402.0,402.0,147.0,6.0,6.0,19.0,2980.0,19.0,54.0,6.0,19.0,19.0,19.0,19.0,19.0,54.0,6.0,6.0,402.0
-90.6816620449597,31.2404756141882,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.65161385625429,31.252306230006873,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.742116123415,31.183087539815897,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.71207859175458,31.19492849599304,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.6820315109795,31.206766115714103,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,147.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
-90.65198577955329,31.218591149573903,8102.0,2.0,2980.0,6.0,54.0,19.0,402.0,54.0,54.0,54.0,19.0,54.0,6.0,6.0,402.0,54.0,2.0,6.0,19.0,6.0,19.0,402.0,1096.0,6.0,1096.0,6.0,0.0,402.0,8102.0,402.0,6.0,6.0,19.0,402.0,6.0,19.0,6.0,19.0,6.0,6.0,19.0,19.0,19.0,6.0,2.0,147.0
