longitude,latitude,American Crow,Belted Kingfisher,Blue Jay,Blue-gray Gnatcatcher,Brown Pelican,Brown Thrasher,Carolina Chickadee,Carolina Wren,Common Grackle,Double-crested Cormorant,Downy Woodpecker,Eastern Bluebird,Eastern Phoebe,Eastern Towhee,European Starling,Fish Crow,Forster's Tern,Gray Catbird,Great Blue Heron,Great Crested Flycatcher,Great Egret,House Finch,House Sparrow,Killdeer,Laughing Gull,Little Blue Heron,Marbled Godwit,Mourning Dove,Northern Cardinal,Northern Mockingbird,Osprey,Pine Warbler,Red-bellied Woodpecker,Red-winged Blackbird,Ring-billed Gull,Royal Tern,Ruby-crowned Kinglet,Ruby-throated Hummingbird,Sanderling,Snowy Egret,Tufted Titmouse,Turkey Vulture,White Ibis,White-eyed Vireo,Willet,Yellow-rumped Warbler
-90.74140344305108,31.250507919048523,2827,0,685,0,3,1,50,3,2,3,1,3,0,0,54,5,0,0,1,0,2,37,197,0,169,0,0,56,1453,72,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.71135373508636,31.262354900935588,33,2,36,9,567,1,24,8,16,53,3,16,3,1,414,7,2,7,9,1,41,1,5,6,8983,3,0,67,33,34,6,1,7,4947,2,15,2,1,2,8,1,6,25,2,0,194
-90.74175615040852,31.2167978997281,3468,0,855,0,3,1,23,4,2,4,1,3,0,0,59,6,0,0,1,0,2,38,208,1,173,0,0,61,1710,84,0,0,1,20,0,0,0,1,0,0,1,1,3,0,0,12
-90.71170979432635,31.228641776229477,767,1,244,1,22,0,57,12,5,19,6,6,1,0,268,13,0,1,3,1,22,5,26,2,1753,1,0,106,187,63,0,0,2,499,1,1,1,2,0,2,1,3,11,1,0,94
-90.6816620449597,31.2404756141882,2857,0,729,0,3,1,53,4,2,3,1,3,0,0,52,5,0,0,1,0,2,40,202,0,161,0,0,57,1563,73,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.65161385625429,31.252306230006873,2825,0,736,0,3,1,54,4,2,3,1,3,0,0,52,5,0,0,1,0,2,41,203,0,159,0,0,58,1589,74,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.742116123415,31.183087539815897,2675,0,772,0,3,1,58,4,2,3,1,3,0,0,48,5,0,0,1,0,2,47,208,0,146,0,0,60,1731,27,0,0,1,15,0,0,0,1,0,0,1,1,1,0,0,10
-90.71207859175458,31.19492849599304,2667,0,775,0,3,1,58,4,2,3,1,3,0,0,47,5,0,0,1,0,2,47,208,0,145,0,0,61,1743,27,0,0,1,15,0,0,0,1,0,0,1,1,1,0,0,10
-90.6820315109795,31.206766115714103,2733,0,742,0,3,1,55,4,2,3,1,3,0,0,49,5,0,0,1,0,2,43,205,0,152,0,0,59,1634,27,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.65198577955329,31.218591149573903,2809,0,701,0,3,1,51,4,2,3,1,3,0,0,53,5,0,0,1,0,2,39,200,0,163,0,0,56,1504,72,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.62192898403646,31.230409526666037,2874,0,674,0,3,1,49,3,2,3,1,3,0,0,55,5,0,0,1,0,2,36,197,0,170,0,0,55,1422,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.59187655475364,31.242226060357872,2898,0,654,0,3,0,47,3,2,4,1,2,0,0,57,5,0,0,1,0,2,34,193,0,177,0,0,54,1363,71,0,0,1,18,0,0,0,1,0,0,1,1,2,0,0,10
-90.5618261855782,31.25403197572347,2822,0,679,0,3,1,49,3,2,3,1,3,0,0,54,5,0,0,1,0,2,37,195,0,170,0,0,55,1439,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.74250288767146,31.149384465761933,2737,0,747,0,3,1,55,4,2,3,1,3,0,0,49,5,0,0,1,0,2,44,206,0,152,0,0,59,1647,27,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.71246133331252,31.161225091528237,2723,0,734,0,3,1,54,4,2,3,1,3,0,0,50,5,0,0,1,0,2,43,203,0,155,0,0,58,1613,73,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.68241413758832,31.17305848513412,2747,0,718,0,3,1,53,4,2,3,1,3,0,0,51,5,0,0,1,0,2,41,200,0,160,0,0,58,1558,73,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.65236715705086,31.18488398470399,2791,0,698,0,3,1,51,4,2,3,1,3,0,0,53,5,0,0,1,0,2,39,198,0,165,0,0,56,1494,72,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.62231740759228,31.19670376789151,2831,0,681,0,3,1,49,3,2,3,1,3,0,0,54,5,0,0,1,0,2,37,196,0,170,0,0,55,1442,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.5922678588469,31.208512801662025,2841,0,673,0,3,1,49,3,2,3,1,3,0,0,55,5,0,0,1,0,2,36,195,0,172,0,0,55,1420,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.56221095548322,31.220316314792836,2853,0,676,0,3,1,49,3,2,3,1,3,0,0,55,5,0,0,1,0,2,36,196,0,171,0,0,55,1427,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.53214952829468,31.232114693960423,2809,0,701,0,3,1,51,4,2,3,1,3,0,0,53,5,0,0,1,0,2,39,199,0,163,0,0,56,1506,72,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.50208818262846,31.24390234161532,2886,0,652,0,3,0,47,3,2,4,1,2,0,0,57,5,0,0,1,0,2,34,192,0,179,0,0,54,1358,71,0,0,1,19,0,0,0,1,0,0,1,1,2,0,0,10
-90.47202468852204,31.255684682684112,2909,0,646,0,3,0,46,3,2,4,1,2,0,0,58,5,0,0,1,0,2,33,192,0,181,0,0,54,1338,70,0,0,1,19,0,0,0,1,0,0,1,1,2,0,0,10
-90.74289660420438,31.115685175648743,2551,0,804,0,3,1,61,5,2,3,1,3,0,0,45,5,0,0,1,0,1,50,209,0,140,0,0,63,1847,76,0,0,1,15,0,0,0,1,0,0,3,1,1,0,0,10
-90.71285287462162,31.127527875852017,2606,0,769,0,3,1,57,4,2,3,1,3,0,0,47,5,0,0,1,0,2,47,205,0,148,0,0,61,1733,75,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.6828098449466,31.13935697318545,2609,0,787,0,3,1,59,4,2,3,1,3,0,0,46,5,0,0,1,0,1,49,209,0,142,0,0,62,1790,75,0,0,1,15,0,0,0,1,0,0,1,1,1,0,0,10
-90.65276437941549,31.151181629466315,2594,0,788,0,3,1,59,4,2,3,1,3,0,0,46,5,0,0,1,0,1,49,208,0,143,0,0,62,1791,75,0,0,1,15,0,0,0,1,0,0,1,1,1,0,0,10
-90.62271713706112,31.16299955070717,2674,0,755,0,3,1,56,4,2,3,1,3,0,0,48,5,0,0,1,0,2,45,205,0,150,0,0,60,1683,74,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.59266287806857,31.17480756708016,2764,0,715,0,3,1,52,4,2,3,1,3,0,0,51,5,0,0,1,0,2,40,200,0,160,0,0,57,1548,73,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.56260488188197,31.18660930650205,2804,0,686,0,3,1,50,4,2,3,1,3,0,0,54,5,0,0,1,0,2,37,196,0,169,0,0,56,1460,72,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.5325549692669,31.198406819390584,2805,0,705,0,3,1,51,4,2,3,1,3,0,0,52,5,0,0,1,0,2,39,200,0,162,0,0,56,1516,72,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.50249219855826,31.210192379436027,2857,0,699,0,3,1,51,4,2,3,1,3,0,0,53,5,0,0,1,0,2,39,201,0,163,0,0,56,1493,26,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.47243023114856,31.221971523256745,2875,0,673,0,3,0,49,3,2,3,1,3,0,0,55,5,0,0,1,0,2,36,196,0,171,0,0,55,1418,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.44236572244978,31.23374427300205,2875,0,678,0,3,1,49,3,2,3,1,3,0,0,55,5,0,0,1,0,2,36,197,0,170,0,0,55,1431,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.41229594632736,31.24550706283134,2905,0,651,0,3,0,47,3,2,4,1,2,0,0,57,5,0,0,1,0,2,34,193,0,178,0,0,54,1355,70,0,0,1,19,0,0,0,1,0,0,1,1,2,0,0,10
-90.38222978846814,31.257262926228275,2808,0,695,0,3,1,51,4,2,3,1,3,0,0,53,5,0,0,1,0,2,38,198,0,165,0,0,56,1489,72,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.74330821595076,31.08199234270113,2504,0,802,0,3,1,60,5,2,3,1,3,0,0,45,5,0,0,1,0,1,51,207,0,142,0,0,64,1845,77,0,0,1,15,0,0,0,1,0,0,3,1,1,0,0,10
-90.7132697817132,31.0938332682849,2578,0,776,0,3,1,58,4,2,3,1,3,0,0,47,5,0,0,1,0,2,48,205,0,146,0,0,62,1757,75,0,0,1,15,0,0,0,1,0,0,1,1,1,0,0,10
-90.68322388107876,31.10566280330453,2310,0,859,0,3,1,66,5,2,3,1,3,0,0,41,5,0,0,1,0,1,58,208,0,131,0,0,70,2077,80,0,0,1,15,0,0,0,1,0,0,3,1,0,0,0,10
-90.65317507562318,31.117485359285936,2619,0,771,0,3,1,58,4,2,3,1,3,0,0,47,5,0,0,1,0,2,47,205,0,147,0,0,61,1735,75,0,0,1,15,0,0,0,1,0,0,1,1,1,0,0,10
-90.62312837928766,31.129302644329588,2686,0,739,0,3,1,54,4,2,3,1,3,0,0,50,5,0,0,1,0,2,43,202,0,155,0,0,59,1625,74,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.59307835532492,31.141111474530508,2678,0,744,0,3,1,55,4,2,3,1,3,0,0,49,5,0,0,1,0,2,44,203,0,153,0,0,59,1646,74,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.56302550284242,31.15290693159253,2714,0,736,0,3,1,54,4,2,3,1,3,0,0,50,5,0,0,1,0,2,43,203,0,155,0,0,59,1619,73,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.53297093880782,31.16470122421035,2694,0,745,0,3,1,55,4,2,3,1,3,0,0,49,5,0,0,1,0,2,44,203,0,153,0,0,59,1645,74,0,0,1,16,0,0,0,1,0,0,1,1,1,0,0,10
-90.50290822668748,31.17648755598874,2783,0,707,0,3,1,52,4,2,3,1,3,0,0,52,5,0,0,1,0,2,40,199,0,163,0,0,57,1522,72,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.4728466304278,31.188262259597977,2634,0,787,0,3,1,59,4,2,3,1,3,0,0,46,5,0,0,1,0,1,49,210,0,143,0,0,61,1785,27,0,0,1,15,0,0,0,1,0,0,1,1,1,0,0,10
-90.44278637059163,31.20003392439792,2792,0,716,0,3,1,52,4,2,3,1,3,0,0,52,5,0,0,1,0,2,40,202,0,159,0,0,57,1549,26,0,0,1,17,0,0,0,1,0,0,1,1,1,0,0,10
-90.41272159399416,31.2117999361665,2846,0,676,0,3,1,49,3,2,3,1,3,0,0,55,5,0,0,1,0,2,36,196,0,171,0,0,55,1427,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
-90.38264597800048,31.22355653412808,2865,0,661,0,3,0,48,3,2,4,1,2,0,0,56,5,0,0,1,0,2,35,193,0,175,0,0,55,1387,71,0,0,1,18,0,0,0,1,0,0,1,1,1,0,0,10
