Class,Label,Non-Zero Rate
0,Acadian Flycatcher,0.00753903680365613
1,Alder Flycatcher,0.0001298341585015407
2,Allen's Hummingbird,0.0009088391095107849
3,American Avocet,0.005279922445729322
4,American Bittern,0.0013329640272824845
5,American Coot,0.03277014160578887
6,American Crow,0.23307828134196587
7,American Golden-Plover,0.0008915278883772461
8,American Goldfinch,0.080955925630994
9,American Kestrel,0.039201260256898525
10,American Oystercatcher,0.006032960565038258
11,American Pipit,0.0031766090780043625
12,American Redstart,0.02374233978464841
13,American Robin,0.08546549873628086
14,American White Pelican,0.0262611224595783
15,American Wigeon,0.0007876605615760136
16,American Woodcock,0.00037219125437108335
17,Anhinga,0.0667434130803587
18,Ash-throated Flycatcher,0.0017397777239206453
19,Bachman's Sparrow,0.003280476404805595
20,Baird's Sandpiper,0.00041546930720493024
21,Bald Eagle,0.06715888238756362
22,Baltimore Oriole,0.01854897344458678
23,Bank Swallow,0.0030900529723366685
24,Barn Swallow,0.09187930616625697
25,Barred Owl,0.015484887303950421
26,Bay-breasted Warbler,0.004691340927189004
27,Bell's Vireo,0.00022504587473600387
28,Belted Kingfisher,0.08709275352283351
29,Black Scoter,0.0021033133677249593
30,Black Skimmer,0.02705743863172108
31,Black Swan,0.00011252293736800194
32,Black Tern,0.008820067167537998
33,Black Vulture,0.055785410102828656
34,Black-and-white Warbler,0.02944638714814943
35,Black-bellied Plover,0.03244988401481841
36,Black-bellied Whistling-Duck,0.06079700862098812
37,Black-billed Cuckoo,0.0010819513208461726
38,Black-chinned Hummingbird,0.005253955614029014
39,Black-crowned Night Heron,0.013701831527195929
40,Black-headed Grosbeak,0.00045009174947200774
41,Black-headed Gull,0.000251012706436312
42,Black-necked Stilt,0.012628535816916526
43,Black-throated Blue Warbler,0.0006405151819409341
44,Black-throated Gray Warbler,0.00016445660076861823
45,Black-throated Green Warbler,0.010438666343523872
46,Black-whiskered Vireo,0.0006491707925077035
47,Blackburnian Warbler,0.0038430910916456046
48,Blackpoll Warbler,0.00334972128933975
49,Blue Grosbeak,0.03388671536890212
50,Blue Jay,0.4883235813454281
51,Blue-gray Gnatcatcher,0.1146522175674272
52,Blue-headed Vireo,0.026425579060346916
53,Blue-winged Teal,0.023015268497039783
54,Blue-winged Warbler,0.006232039608073953
55,Boat-tailed Grackle,0.05473808122424956
56,Bobolink,0.002008101651490496
57,Bonaparte's Gull,0.013286362219990999
58,Brewer's Blackbird,0.00032891320153723646
59,Bridled Tern,0.00024235709586954265
60,Broad-billed Hummingbird,0.0003375688121040058
61,Broad-tailed Hummingbird,0.000502025412872624
62,Broad-winged Hawk,0.007694837793857979
63,Bronzed Cowbird,0.007045667001350275
64,Brown Booby,0.0003116019804036977
65,Brown Creeper,0.0006318595713741647
66,Brown Noddy,0.00038084686493785274
67,Brown Pelican,0.2143561956860437
68,Brown Thrasher,0.17881625869888862
69,Brown-crested Flycatcher,0.0002856351487033895
70,Brown-headed Cowbird,0.07787452826922411
71,Brown-headed Nuthatch,0.06314267908458263
72,Buff-bellied Hummingbird,0.006872554790014888
73,Buff-breasted Sandpiper,0.0006664820136412422
74,Bufflehead,0.02861544853373957
75,Bullock's Oriole,0.002414915348128657
76,Calliope Hummingbird,0.0016445660076861823
77,Canada Goose,0.05326662742789876
78,Canada Warbler,0.001004050825745248
79,Canvasback,0.0007357268981753973
80,Cape May Warbler,0.0017051552816535677
81,Carolina Chickadee,0.3471851954436866
82,Carolina Wren,0.3672835231797251
83,Caspian Tern,0.03708063566804003
84,Cave Swallow,0.00019042343246892637
85,Cedar Waxwing,0.041105494581587784
86,Cerulean Warbler,0.0021379358099920366
87,Chestnut-sided Warbler,0.005885815185403178
88,Chimney Swift,0.088650763424852
89,Chipping Sparrow,0.07850638784059828
90,Chuck-will's-widow,0.004275871619984073
91,Clapper Rail,0.029506976422116814
92,Clay-colored Sparrow,0.00041546930720493024
93,Cliff Swallow,0.012498701658414985
94,Common Gallinule,0.029351175431914966
95,Common Goldeneye,0.0016532216182529515
96,Common Grackle,0.11991482879202299
97,Common Ground Dove,0.03351452411453104
98,Common Loon,0.04772703666516636
99,Common Nighthawk,0.012758369975418066
100,Common Tern,0.007668870962157671
101,Common Yellowthroat,0.06946127479832427
102,Cooper's Hawk,0.039902364712806844
103,Couch's Kingbird,9.521171623446318e-05
104,Dark-eyed Junco,0.006898521621715196
105,Dickcissel,0.002302392410760655
106,Double-crested Cormorant,0.1641449987882145
107,Downy Woodpecker,0.2345670463594502
108,Dunlin,0.01980403697676834
109,Eastern Bluebird,0.21724716961534465
110,Eastern Kingbird,0.06108264376969151
111,Eastern Meadowlark,0.025049336980230586
112,Eastern Phoebe,0.11894540040854482
113,Eastern Screech-Owl,0.006509019146210574
114,Eastern Towhee,0.12620745767406433
115,Eastern Whip-poor-will,9.521171623446318e-05
116,Eastern Wood-Pewee,0.023811584669182564
117,Eurasian Collared-Dove,0.06374857182425649
118,European Herring Gull,0.0427673718104075
119,European Starling,0.16767648789945644
120,Field Sparrow,0.002968874424401897
121,Fish Crow,0.16866322750406815
122,Fork-tailed Flycatcher,0.00019907904303569573
123,Forster's Tern,0.06520271439947374
124,Fox Sparrow,8.65561056676938e-05
125,Franklin's Gull,0.0009953952151784786
126,Fulvous Whistling-Duck,0.00038950247550462207
127,Gadwall,0.007435169476854898
128,Glaucous Gull,0.00036353564380431396
129,Glossy Ibis,0.0018523006612886474
130,Golden Pheasant,0.0002163902641692345
131,Golden-crowned Kinglet,0.00545303465706471
132,Golden-winged Warbler,0.0015147318491846415
